feature,importance,domain
FREQ:spec_skew,23.0,FREQ
TF:glcm_71_energy_d4_a2,23.0,TF
TF:DWT_L5_max,23.0,TF
TF:WPT_adaa_std,23.0,TF
TF:Ef_p75,23.0,TF
TF:glcm_59_entropy_d3_a3,23.0,TF
TF:WPT_aaaa_mean,23.0,TF
TIME:hist_b14,23.0,TIME
TF:WPT_aaad_tk_std,23.0,TF
TF:WPT_adaa_abs_mean,23.0,TF
TF:glcm_46_energy_d3_a1,22.0,TF
TIME:d2_std,22.0,TIME
TF:DWT_L5_iqr,22.0,TF
TF:WPT_ddda_tk_std,22.0,TF
TF:WPT_adaa_iqr,22.0,TF
FREQ:bandP_5,22.0,FREQ
TF:DWT_L4_mad,21.0,TF
TF:WPT_addd_max,21.0,TF
TF:WPT_aada_mad,21.0,TF
TF:glcm_56_energy_d3_a3,21.0,TF
TF:WPT_aaad_tk_mean,21.0,TF
TF:DWT_L3_energy,21.0,TF
