feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:WPT_dada_iqr,6,0.0002973936207126826,716.0,0.22242109631815568,55.0,0.41022828307091164,146.0,0.16193218176822807,103.0,288.0,113.0,-8.0,552.5,-2.0,130.5,0.0006460892171046626,87.0,237.875,75.0
TF:WPT_adda_mad,6,0.007633733097463846,517.0,0.21988976268376142,103.0,0.41336899468657506,130.0,0.15999920011781335,110.0,252.0,149.0,-8.0,552.5,-18.0,159.5,0.0003760062322933857,193.0,239.25,75.0
TF:tf_sparsity,6,0.000907306035514921,650.0,0.20214020384450757,234.0,0.435329879979931,79.0,0.1583707522400827,121.0,266.0,135.0,-8.0,552.5,-1.0,59.0,0.0006255608452927991,90.0,240.0625,75.0
TF:DWT_L5_energy,6,5157.787109375,50.0,0.2255162218311454,15.0,0.447700121706172,47.0,0.17685686773092996,31.0,359.0,42.0,-10.0,752.5,-223.0,364.5,0.00014361570315157734,659.0,245.125,75.0
TF:WPT_daad_energy,6,0.0016149276634678245,612.0,0.22440660599784815,29.0,0.45656343546159484,25.0,0.16936308299486955,54.0,334.0,67.0,-11.0,852.5,-117.0,258.5,0.0006897982504282554,77.0,246.875,75.0
TF:Ef_flatness,6,5.257627016044819e-14,943.0,0.2251050102621923,23.0,0.45648957931291045,26.0,0.1850568663555236,15.0,360.0,41.0,-11.0,852.5,-1.0,59.0,0.0009457180877530365,45.0,250.5625,75.0
TF:DWT_L5_var,6,0.001223724102601409,627.0,0.2255160092095232,16.0,0.4478699298230002,44.0,0.1768566694580149,32.0,357.0,44.0,-10.0,752.5,-297.0,438.0,0.0005856103352626912,100.0,256.6875,75.0
FREQ:bandP_5,6,22918467682304.0,3.0,0.2228735289305893,45.0,0.447843509686666,45.5,0.17006664303206617,48.0,294.0,107.0,-11.0,852.5,-191.0,332.0,0.00014354101626779415,661.0,261.75,75.0
TF:WPT_adda_rel_energy,6,1.77165766217513e-05,784.0,0.22395051955118955,32.0,0.44984761093592107,39.0,0.1737359429255811,38.0,355.0,46.0,-7.0,452.5,-384.0,525.0,0.0003845063829191701,184.0,262.5625,75.0
TF:DWT_L5_tk_mean,6,0.001367100398056209,617.0,0.22423889031845542,31.0,0.42425535009847826,106.0,0.17255580600503867,43.0,339.0,62.0,-11.0,852.5,-128.0,269.5,0.00038207027921812045,185.0,270.75,75.0
TF:WPT_adda_var,6,0.004733467008918524,558.0,0.2261699873565829,13.0,0.4018947539319888,171.0,0.17733769473029337,29.0,374.0,27.0,-7.0,452.5,-37.0,178.0,0.00012113000217798864,754.0,272.8125,75.0
TF:WPT_adaa_abs_mean,6,9.006349864648655e-05,748.0,0.2224619510215168,54.0,0.43111145453924893,95.0,0.1574572161851217,126.0,223.0,178.0,-10.0,752.5,-2.0,130.5,0.00044351874281039507,147.0,278.875,75.0
TF:WPT_adaa_iqr,6,0.00020314760331530124,726.0,0.22137859749979577,71.0,0.4444751554306299,54.0,0.1520291542204313,171.0,239.0,162.0,-10.0,752.5,-122.0,263.5,0.0008929735566164084,50.0,281.25,75.0
TF:DWT_L6_mad,6,2.2998998247203417e-05,780.0,0.22088815212869276,79.0,0.4443678438620262,55.0,0.16349261678508684,93.0,269.0,132.0,-11.0,852.5,-20.0,161.5,0.0005701802346183271,104.0,282.125,75.0
