feature,importance,domain
TF:WPT_dada_tk_std,47.0,TF
TF:WPT_daad_tk_mean,47.0,TF
TF:WPT_daaa_iqr,47.0,TF
TF:glcm_47_homogeneity_d3_a1,47.0,TF
TF:Ef_rolloff95,47.0,TF
TF:WPT_adad_tk_std,47.0,TF
TF:WPT_aadd_tk_std,47.0,TF
TF:WPT_band_flatness,46.0,TF
TF:WPT_ddaa_mean,46.0,TF
TF:WPT_daaa_rel_energy,46.0,TF
TF:DWT_L5_tk_std,46.0,TF
TIME:mad,46.0,TIME
FREQ:pow_std,46.0,FREQ
TF:WPT_ddda_tk_std,46.0,TF
FREQ:bandP_rel_0,46.0,FREQ
TF:glcm_62_homogeneity_d4_a0,45.0,TF
TF:glcm_17_homogeneity_d1_a3,45.0,TF
TF:WPT_aaad_mean,45.0,TF
TF:WPT_dada_mad,45.0,TF
TIME:max_peak_amp,44.0,TIME
TF:WPT_adda_mad,44.0,TF
TF:glcm_7_homogeneity_d1_a1,43.0,TF
TF:WPT_ddad_tk_mean,43.0,TF
TF:glcm_20_contrast_d2_a0,43.0,TF
TF:DWT_L4_mad,42.0,TF
TF:WPT_ddda_abs_mean,42.0,TF
TF:glcm_15_contrast_d1_a3,42.0,TF
TF:DWT_L0_var,42.0,TF
TF:WPT_adaa_mean,42.0,TF
TF:glcm_22_homogeneity_d2_a0,42.0,TF
TF:WPT_aadd_tk_mean,42.0,TF
TF:DWT_L6_range,41.0,TF
TIME:shape_factor,40.0,TIME
TF:WPT_adaa_tk_mean,40.0,TF
TF:DWT_L6_tk_std,40.0,TF
TF:DWT_L6_tk_max,40.0,TF
TF:glcm_12_homogeneity_d1_a2,40.0,TF
TF:WPT_dadd_tk_std,40.0,TF
TF:WPT_ddda_rel_energy,39.0,TF
TF:WPT_ddad_abs_mean,39.0,TF
TF:WPT_adaa_entropy,39.0,TF
TF:WPT_dadd_tk_mean,39.0,TF
TF:tf_burstiness,39.0,TF
TIME:tkeo_std,39.0,TIME
TF:WPT_adda_range,39.0,TF
TF:WPT_dddd_tk_max,39.0,TF
TF:glcm_0_contrast_d1_a0,39.0,TF
TF:Ef_entropy,38.0,TF
TF:DWT_L4_iqr,38.0,TF
TF:DWT_L4_tk_std,38.0,TF
TF:das_transient_index,38.0,TF
